idx,filename,ViT-UNet_iou,ViT-UNet_fp,ViT-UNet_fn,ViT-UNet_precision,ViT-UNet_recall,ViT-UNet_error_type,U-Net_iou,U-Net_fp,U-Net_fn,U-Net_precision,U-Net_recall,U-Net_error_type,DeepLabV3+_iou,DeepLabV3+_fp,DeepLabV3+_fn,DeepLabV3+_precision,DeepLabV3+_recall,DeepLabV3+_error_type,CBD-Net_iou,CBD-Net_fp,CBD-Net_fn,CBD-Net_precision,CBD-Net_recall,CBD-Net_error_type
46,palsar_14.png,0.0,0,6336,0.0,0.0,Under-segmentation,0.0,0,6336,0.0,0.0,Under-segmentation,0.03059842945699994,1050,6110,0.1771159873220094,0.03566919191356231,Under-segmentation,0.0,89,6336,0.0,0.0,Under-segmentation
47,palsar_140.png,0.0,0,0,0.0,0.0,Mixed,0.0,0,0,0.0,0.0,Mixed,0.0,0,0,0.0,0.0,Mixed,0.0,0,0,0.0,0.0,Mixed
48,palsar_141.png,0.0,0,990,0.0,0.0,Under-segmentation,0.0,0,990,0.0,0.0,Under-segmentation,0.0,0,990,0.0,0.0,Under-segmentation,0.0,0,990,0.0,0.0,Under-segmentation
49,palsar_142.png,0.0,0,5691,0.0,0.0,Under-segmentation,0.0,137,5691,0.0,0.0,Under-segmentation,0.0,0,5691,0.0,0.0,Under-segmentation,0.0,213,5691,0.0,0.0,Under-segmentation
50,palsar_143.png,0.0,0,2443,0.0,0.0,Under-segmentation,0.0,0,2443,0.0,0.0,Under-segmentation,0.0,0,2443,0.0,0.0,Under-segmentation,0.0,0,2443,0.0,0.0,Under-segmentation
51,palsar_144.png,0.0008082886324632016,1893,11705,0.005777310921335445,0.0009388869920673534,Under-segmentation,0.0,0,11716,0.0,0.0,Under-segmentation,0.04893778451890884,4100,10942,0.15880180546598238,0.0660635028963756,Under-segmentation,0.0,0,11716,0.0,0.0,Under-segmentation
52,palsar_145.png,0.0,0,2694,0.0,0.0,Under-segmentation,0.0,0,2694,0.0,0.0,Under-segmentation,0.0,0,2694,0.0,0.0,Under-segmentation,0.0,0,2694,0.0,0.0,Under-segmentation
53,palsar_146.png,0.0,49,22319,0.0,0.0,Under-segmentation,0.0,0,22319,0.0,0.0,Under-segmentation,0.019437385759910955,112,21883,0.7956204365043422,0.019534925399008248,Under-segmentation,0.0,0,22319,0.0,0.0,Under-segmentation
54,palsar_147.png,0.0,19,11195,0.0,0.0,Under-segmentation,0.00026780931974042054,7,11192,0.299999970000003,0.00026797677532219946,Under-segmentation,0.09231239491882069,1891,9987,0.3898031621846392,0.10790531486307232,Under-segmentation,0.028550271513201393,959,10848,0.2656967838700637,0.03099598034560107,Under-segmentation
55,palsar_148.png,0.21686484918007307,6162,15440,0.49258893276576177,0.27924563531513186,Under-segmentation,0.2347269890722394,10628,13899,0.4144675224277193,0.3511810288324535,Under-segmentation,0.2181263956254873,6791,15268,0.4753959057183935,0.28727476424762977,Under-segmentation,0.23730462415729603,9416,14104,0.43731325442588065,0.34161142748848794,Under-segmentation
56,palsar_149.png,0.0072185532165230295,1,6463,0.9791666462673616,0.007219662057262724,Under-segmentation,0.02165233414900916,2,6369,0.9860139791187834,0.021658986171788172,Under-segmentation,0.0,0,6510,0.0,0.0,Under-segmentation,0.26001204452574345,132,4783,0.9289940823405087,0.2652841781466537,Under-segmentation
57,palsar_15.png,0.5145038167832783,22209,1323,0.5289413960479152,0.9496211111172606,Over-segmentation,0.46785601656827824,18133,5491,0.5338919877507161,0.790906667651997,Over-segmentation,0.5162241253062739,20213,2270,0.5427336892466127,0.9135600319518083,Over-segmentation,0.4642287204049307,18230,5607,0.5311696327401716,0.786489471048837,Over-segmentation
58,palsar_150.png,0.0,0,9721,0.0,0.0,Under-segmentation,0.0,37,9721,0.0,0.0,Under-segmentation,0.0,0,9721,0.0,0.0,Under-segmentation,0.0,265,9721,0.0,0.0,Under-segmentation
59,palsar_151.png,0.0,0,5281,0.0,0.0,Under-segmentation,0.0,0,5281,0.0,0.0,Under-segmentation,0.0,0,5281,0.0,0.0,Under-segmentation,0.0,0,5281,0.0,0.0,Under-segmentation
60,palsar_152.png,0.0,0,7461,0.0,0.0,Under-segmentation,0.0038863575443733103,1,7432,0.9666666344444454,0.0038868784340052435,Under-segmentation,0.0,0,7461,0.0,0.0,Under-segmentation,0.08378941880586534,213,6818,0.7511682234215324,0.08618147700225419,Under-segmentation
61,palsar_153.png,0.0,0,1677,0.0,0.0,Under-segmentation,0.0,0,1677,0.0,0.0,Under-segmentation,0.0,0,1677,0.0,0.0,Under-segmentation,0.0,0,1677,0.0,0.0,Under-segmentation
62,palsar_154.png,0.1908886041186475,4899,13412,0.4685974617129192,0.24362734038779452,Under-segmentation,0.23229329172260946,7908,11776,0.4296018464779572,0.33588991651613526,Under-segmentation,0.29186306553270724,11333,9249,0.4280884133817073,0.47840063159945856,Over-segmentation,0.19533504327527512,7220,12858,0.40300975687092694,0.2748702909838219,Under-segmentation
63,palsar_155.png,0.0,0,14340,0.0,0.0,Under-segmentation,0.0,0,14340,0.0,0.0,Under-segmentation,0.0005576467307571695,6,14332,0.5714285306122479,0.0005578800557491018,Under-segmentation,0.010134903786199075,263,14192,0.36009732272482403,0.010320781031358384,Under-segmentation
64,palsar_156.png,0.0,0,1386,0.0,0.0,Under-segmentation,0.0,0,1386,0.0,0.0,Under-segmentation,0.0,0,1386,0.0,0.0,Under-segmentation,0.0,0,1386,0.0,0.0,Under-segmentation
65,palsar_157.png,0.0,0,8632,0.0,0.0,Under-segmentation,0.0,0,8632,0.0,0.0,Under-segmentation,0.0,0,8632,0.0,0.0,Under-segmentation,0.0,0,8632,0.0,0.0,Under-segmentation
66,palsar_158.png,0.6829457522472295,12917,2612,0.721418250032967,0.9275691863754764,Over-segmentation,0.567291091147978,10274,9776,0.7189824945098746,0.7289113193741636,Over-segmentation,0.6356867624501147,13766,4387,0.6970577231861742,0.8783483999534594,Over-segmentation,0.5591873941798153,10012,10298,0.720147584953037,0.7144362486630127,Under-segmentation
67,palsar_159.png,0.046801069736329914,2307,16227,0.28287224113059617,0.05310147633465009,Under-segmentation,0.005437496531907147,886,17039,0.09959349583374645,0.005718620528346932,Under-segmentation,0.11118101743163845,5115,14663,0.3259981551817106,0.14436599170541134,Under-segmentation,0.016065954972198183,1785,16833,0.14552417417638863,0.017739394292014973,Under-segmentation
68,palsar_16.png,0.0,134,7633,0.0,0.0,Under-segmentation,0.07548786291523199,2872,6840,0.21637107770358224,0.10389099959335896,Under-segmentation,0.0,0,7633,0.0,0.0,Under-segmentation,0.1662230316498863,6643,5260,0.26319875773478274,0.3108869382535193,Over-segmentation
69,palsar_160.png,0.0,0,5889,0.0,0.0,Under-segmentation,0.0,0,5889,0.0,0.0,Under-segmentation,0.008493455860694311,1293,5828,0.04505169863733257,0.010358295124748123,Under-segmentation,0.0,0,5889,0.0,0.0,Under-segmentation
70,palsar_161.png,0.0,0,12624,0.0,0.0,Under-segmentation,0.0,0,12624,0.0,0.0,Under-segmentation,0.0,0,12624,0.0,0.0,Under-segmentation,7.87835814954082e-05,69,12623,0.014285714081632657,7.921419517750204e-05,Under-segmentation
71,palsar_162.png,0.0,0,1962,0.0,0.0,Under-segmentation,0.0,0,1962,0.0,0.0,Under-segmentation,0.0,0,1962,0.0,0.0,Under-segmentation,0.0,0,1962,0.0,0.0,Under-segmentation
72,palsar_163.png,0.8162465778902933,1331,2562,0.9285330755515178,0.8709644925272745,Under-segmentation,0.07030974565246488,0,18459,0.9999999992836676,0.07030974565246488,Under-segmentation,0.6547555791421026,2729,5068,0.8441995888990523,0.7447494333545832,Under-segmentation,0.3397129186431774,0,13110,0.9999999998517419,0.3397129186431774,Under-segmentation
73,palsar_164.png,0.0,0,927,0.0,0.0,Under-segmentation,0.0,0,927,0.0,0.0,Under-segmentation,0.0,0,927,0.0,0.0,Under-segmentation,0.0,0,927,0.0,0.0,Under-segmentation
74,palsar_165.png,0.0,0,3144,0.0,0.0,Under-segmentation,0.0,0,3144,0.0,0.0,Under-segmentation,0.0,0,3144,0.0,0.0,Under-segmentation,0.0,0,3144,0.0,0.0,Under-segmentation
75,palsar_166.png,0.0,0,0,0.0,0.0,Mixed,0.0,0,0,0.0,0.0,Mixed,0.0,0,0,0.0,0.0,Mixed,0.0,0,0,0.0,0.0,Mixed
