Model,cluster_id,cluster_label,n_images,F1_mean,F1_lo,F1_hi,F1_pixel,Precision_pixel,Recall_pixel,FPR_pixel
DeepLabV3+,5,SENTINEL: Calm sea / low-wind,12,0.5638001470976025,0.29573620005513923,0.8145263352335231,0.9497717144772488,0.947856966648458,0.9516952179044742,0.07131424087849622
LRA-UNet,0,PALSAR: Calm sea / low-wind,81,0.14988908996064046,0.09231707423319678,0.2138045892299888,0.46915900605387595,0.7278295221202623,0.3461411364578264,0.046685173876695824
LRA-UNet,1,PALSAR: Rough sea / high-wind,360,0.08173335302319125,0.0609715725507653,0.1029990951914611,0.3164801229679193,0.8486210776172904,0.1945099975241373,0.006146482409914935
LRA-UNet,2,PALSAR: Moderate sea,335,0.12225475363893103,0.0978129251432043,0.1470431153925607,0.3497428075041682,0.8638625417653768,0.2192554038276238,0.009260712118518553
LRA-UNet,3,SENTINEL: Rough sea / high-wind,269,0.1952060038548638,0.15531642266092036,0.2391849705232152,0.6312572610744825,0.831911692921752,0.5085881818022598,0.03860748578771365
LRA-UNet,4,SENTINEL: Moderate sea,558,0.41092957442346456,0.3766024623929658,0.44491070325611604,0.758255423237304,0.7923336971452809,0.726988599116963,0.1277032351995226
LRA-UNet,5,SENTINEL: Calm sea / low-wind,12,0.5683927781505655,0.31988462578584226,0.8180401077282923,0.8931576423198428,0.8397570809117333,0.9538120802248948,0.24792075323559074
SegFormer,0,PALSAR: Calm sea / low-wind,81,0.24014959483660228,0.16900675013326044,0.31738508122603476,0.6127127477816755,0.7291221804766795,0.5283576159919054,0.07079710901842459
SegFormer,1,PALSAR: Rough sea / high-wind,360,0.09322002463640469,0.06762879121709413,0.12009735744949143,0.39025319678322473,0.8531829184009504,0.2529857562915618,0.007711939697505603
SegFormer,2,PALSAR: Moderate sea,335,0.15415726294157453,0.12452347911354404,0.18330396125949897,0.41586337762381526,0.831845514584707,0.27722939204890124,0.015019868576808893
SegFormer,3,SENTINEL: Rough sea / high-wind,269,0.24003480823743695,0.1987922549174609,0.285576956430042,0.6833846805603004,0.8402725190192735,0.5758653019765607,0.041126843193592694
SegFormer,4,SENTINEL: Moderate sea,558,0.45151592438645877,0.41842660482382554,0.4850640980274252,0.7799418247982826,0.7770290057811575,0.7828775718608112,0.15056408379281794
SegFormer,5,SENTINEL: Calm sea / low-wind,12,0.5680743239687537,0.31877087148792443,0.8325692285354984,0.9491818426806713,0.9452875730152812,0.953109339536211,0.07514319340888527
TransUNet,0,PALSAR: Calm sea / low-wind,81,0.2781548289749187,0.2084712973827192,0.34869883625908543,0.6101381375332501,0.6822382607669939,0.5518215707236606,0.09269976270057534
TransUNet,1,PALSAR: Rough sea / high-wind,360,0.166729494155612,0.1427734599500363,0.1925761632868243,0.4433771978330514,0.739400229035001,0.3166180030848738,0.01976802010969281
TransUNet,2,PALSAR: Moderate sea,335,0.2602413978395529,0.22850528163827874,0.2882742402095549,0.5015291092516102,0.7330274613560206,0.3811563217380344,0.03720579222800258
TransUNet,3,SENTINEL: Rough sea / high-wind,269,0.3257363497852391,0.2852928487373097,0.3680269679479,0.7166642302937579,0.7610857926584128,0.6771430168153661,0.07986081666399492
TransUNet,4,SENTINEL: Moderate sea,558,0.4545934887317921,0.4253150190660668,0.48372600908867003,0.748972472049949,0.7592118656868854,0.7390065711573888,0.15708574991135899
TransUNet,5,SENTINEL: Calm sea / low-wind,12,0.551500253311768,0.29522599445326525,0.7960917433817907,0.9219212138600458,0.9457865449306594,0.8992315933755192,0.07021184778316904
U-Net,0,PALSAR: Calm sea / low-wind,81,0.11361892052794526,0.06054092982683645,0.17130628196142347,0.3100422828337502,0.7374017052264488,0.1962857556583457,0.025211051830892978
U-Net,1,PALSAR: Rough sea / high-wind,360,0.12683140672812324,0.09998997631067286,0.15533389033063777,0.36761467657329294,0.9688919057345726,0.22684132827473896,0.0012901891341153956
U-Net,2,PALSAR: Moderate sea,335,0.22326319301167202,0.1911999623462379,0.2550990874828422,0.4771342145548784,0.914576323094832,0.32275901163338,0.008079747087153479
U-Net,3,SENTINEL: Rough sea / high-wind,269,0.2282951811910505,0.18945899971574862,0.2693734770951476,0.5864135121220879,0.964750589809251,0.4212259421307814,0.005782250384049038
